time_bucket,supply_tx_count,withdrawal_tx_count,unique_suppliers,unique_withdraw_users,supply_amount_value_usd,supply_amount_value_eth,withdrawal_amount_value_usd,withdrawal_amount_value_eth
2025-12-22 06:00:00.000 UTC,509,559,256,287,98685033.91581881,32508.88843683958,126532310.57610407,41682.385175627314
2025-12-22 12:00:00.000 UTC,664,695,332,364,133142004.08644804,43669.76644928589,178377685.05412564,58506.8808012245
2025-12-22 18:00:00.000 UTC,527,551,279,300,150264273.32710996,50110.5115013687,116062878.83842935,38704.635968578026
2025-12-23 00:00:00.000 UTC,401,385,198,210,175326648.77381355,58402.894562051915,195901006.65339503,65256.181139232125
2025-12-23 06:00:00.000 UTC,487,497,232,253,159714835.99779737,53873.9318954968,161758264.68696702,54563.20317398091
2025-12-23 12:00:00.000 UTC,562,510,299,279,188436721.69813272,63963.1691488107,232735042.89504194,78999.95698751314
2025-12-23 18:00:00.000 UTC,366,313,196,183,533622739.0798698,180588.54954143657,360333155.6811777,121944.11160220545
2025-12-24 00:00:00.000 UTC,374,383,171,199,156666996.3330668,53133.273384290274,207215302.02192703,70276.55633287535
2025-12-24 06:00:00.000 UTC,410,412,209,219,239488837.438223,81732.18357855266,131215360.25782348,44780.870032255545
2025-12-24 12:00:00.000 UTC,412,452,245,253,101416559.8192052,34619.95750011969,133707529.69523105,45642.947227003824
2025-12-24 18:00:00.000 UTC,328,250,153,132,199907050.39088255,67858.53287346214,153067148.069986,51958.70902766846
2025-12-25 00:00:00.000 UTC,215,217,120,127,51947165.49679696,17635.959500001027,47681197.61936522,16187.67239646529
2025-12-25 06:00:00.000 UTC,354,275,214,173,96929374.97662428,33068.00687263808,160594842.30043596,54788.04531826519
2025-12-25 12:00:00.000 UTC,394,329,206,176,132432809.58773902,45061.17245678582,165160080.20539838,56196.7313841472
2025-12-25 18:00:00.000 UTC,329,276,198,158,149461166.23697123,50766.00380174368,85680175.10480039,29102.000506453456
2025-12-26 00:00:00.000 UTC,395,358,219,211,120568526.67452328,40934.03634622533,81439736.16865659,27649.245300083352
2025-12-26 06:00:00.000 UTC,406,467,217,244,83488574.51791248,28118.31695449409,184712014.51558924,62209.62149465312
2025-12-26 12:00:00.000 UTC,489,433,267,249,209887581.78683564,71264.71082342936,230017985.7102389,78098.95493482533
2025-12-26 18:00:00.000 UTC,364,286,226,172,107203407.07901543,36627.18830726828,95887345.60907134,32760.933979730093
2025-12-27 00:00:00.000 UTC,282,241,149,133,159407580.69142106,54443.194765132364,129934522.2643804,44377.12627858712
2025-12-27 06:00:00.000 UTC,330,274,182,164,72458774.23939167,24716.983633894462,66206051.313514866,22584.06885646556
2025-12-27 12:00:00.000 UTC,321,366,189,202,73691579.80592306,25167.06630716937,83034356.12814884,28357.800368789714
2025-12-27 18:00:00.000 UTC,330,261,191,168,28536042.073940627,9729.618355452458,24436385.473884992,8331.802512474533
2025-12-28 00:00:00.000 UTC,226,164,123,110,49943928.07300018,16961.194288230632,54750844.212625876,18593.647623348726
2025-12-28 06:00:00.000 UTC,252,266,125,180,59252095.87732616,20148.494335016552,77118832.60252333,26224.02307022307
2025-12-28 12:00:00.000 UTC,378,340,190,199,191024061.42994556,64843.79033984807,169154638.26284114,57420.14598311537
2025-12-28 18:00:00.000 UTC,302,260,178,167,71799060.55122131,24443.4096794393,83939783.98656912,28576.622377896605
2025-12-29 00:00:00.000 UTC,408,402,206,215,301657332.6117201,100464.49091521189,416693658.28890914,138774.63010777754
2025-12-29 06:00:00.000 UTC,489,516,266,309,280148875.73908263,93355.01092876223,160238361.56309018,53396.92197349797
2025-12-29 12:00:00.000 UTC,580,530,334,306,266616277.33310243,90894.15809783005,181533595.40699187,61887.9881763981
2025-12-29 18:00:00.000 UTC,348,347,207,223,305817162.3819755,104269.36848486774,266473509.20971707,90855.02486537013
2025-12-30 00:00:00.000 UTC,324,279,179,171,256173966.55583587,87229.5490111048,91938228.68229216,31305.746005840898
2025-12-30 06:00:00.000 UTC,359,427,218,252,134395056.07180566,45313.11467750149,83487624.48562224,28148.97128080296
2025-12-30 12:00:00.000 UTC,580,594,307,310,222513224.46583387,74667.55824019753,1513771781.5500908,507968.3657255871
2025-12-30 18:00:00.000 UTC,382,363,204,230,81842096.06112674,27584.237699056834,158045401.6284461,53267.99772521556
2025-12-31 00:00:00.000 UTC,391,285,202,186,132261700.23504241,44498.934009468896,123155003.92240027,41435.01566865046
2025-12-31 06:00:00.000 UTC,468,447,289,272,514857969.6160463,173046.83793853424,362179938.2308775,121730.7060449717
2025-12-31 12:00:00.000 UTC,536,475,341,266,596951096.5924735,199946.34351758752,224741270.23939043,75276.74692651477
2025-12-31 18:00:00.000 UTC,411,322,218,187,360651923.17206645,121293.95686027026,190558874.6890983,64088.50396916662
2026-01-01 00:00:00.000 UTC,261,229,155,140,180708585.8276574,60690.14047254198,228833535.95897216,76852.66877756004
2026-01-01 06:00:00.000 UTC,276,246,156,150,521485097.17814773,175048.62998632586,69036973.38260373,23173.861145242983
2026-01-01 12:00:00.000 UTC,380,319,230,211,77011154.8341723,25812.216446289905,70065280.48588355,23484.132711867587
2026-01-01 18:00:00.000 UTC,387,291,252,190,56652104.04107882,18940.428227066266,37735415.64761064,12616.038679679647
2026-01-02 00:00:00.000 UTC,306,259,187,179,66306872.08297743,22056.0481302884,54769091.42676748,18218.169411008523
2026-01-02 06:00:00.000 UTC,428,385,240,214,141623230.82952464,46683.867178999324,97036388.08002153,31986.52375487942
2026-01-02 12:00:00.000 UTC,601,631,340,347,115392426.8469415,37506.35635460861,279665224.53963387,90904.65475500532
2026-01-02 18:00:00.000 UTC,545,522,278,260,651650302.5793011,208646.35848887564,558885772.6848658,178944.87690235654
2026-01-03 00:00:00.000 UTC,421,401,231,209,137428099.60114363,44002.8659998944,121019894.77592905,38749.14656203581
2026-01-03 06:00:00.000 UTC,388,419,188,191,483258807.13830894,155983.90439113785,93244976.91710849,30097.107553492013
2026-01-03 12:00:00.000 UTC,441,393,236,231,107770290.29583094,34724.97774180873,153382397.18494034,49421.78442526909
2026-01-03 18:00:00.000 UTC,379,315,250,202,53126288.58683777,17049.704710119797,84444265.05560353,27100.514160505147
2026-01-04 00:00:00.000 UTC,357,373,209,182,48870281.96920716,15529.910884444274,45999233.332844496,14617.554900299046
2026-01-04 06:00:00.000 UTC,334,485,199,181,52123098.83637605,16589.07438126455,110732909.04361859,35242.67723699406
2026-01-04 12:00:00.000 UTC,438,378,251,241,85042346.02934667,27106.604377536867,80312505.79585375,25599.00299756902
2026-01-04 18:00:00.000 UTC,364,315,207,186,39265191.77520009,12516.013325783339,37094708.83340039,11824.157959178683
2026-01-05 00:00:00.000 UTC,549,464,271,236,197679640.10735878,62249.92446675396,155316946.65419152,48909.852965626924
2026-01-05 06:00:00.000 UTC,471,479,262,259,139688910.2416973,44165.45508303293,116071815.31387858,36698.41133578736
2026-01-05 12:00:00.000 UTC,619,537,352,336,102424048.34619728,32291.430973202678,128801068.83986671,40607.42840521102
2026-01-05 18:00:00.000 UTC,701,666,369,365,286381654.5481155,88676.07364886167,270847679.6312584,83866.04724332849
2026-01-06 00:00:00.000 UTC,454,477,231,238,225920601.2139018,70118.95939424618,248201962.0741952,77034.43600423649
2026-01-06 06:00:00.000 UTC,512,505,241,270,104574416.92161584,32413.19795351182,161433157.01658684,50036.77256211819
2026-01-06 12:00:00.000 UTC,692,578,355,318,266964562.16475406,82037.21271175447,180153451.98797417,55360.805736461465
2026-01-06 18:00:00.000 UTC,592,486,319,284,177439670.33633402,54582.36696987891,139476631.57741892,42905.12117140148
2026-01-07 00:00:00.000 UTC,409,376,199,188,95357167.9286502,29234.500678645905,120160494.4015064,36838.675573254695
2026-01-07 06:00:00.000 UTC,447,428,225,250,182139236.2341817,56268.97180905544,149219401.2766846,46099.08613655669
2026-01-07 12:00:00.000 UTC,541,532,305,299,225158818.82144773,70674.92093553329,307093382.8537384,96394.29298429961
